gender;maritalStatus;age;flagResidencialPhone;areaCodeResidencialPhone;bestPaymentDay;residenceType;monthsInResidence;flagResidenceTown_WorkingTown;monthsInTheJob;personalNetIncome;BAD
F;C;33;Y;31;3;P;120;N;0;595.0;0
M;C;32;Y;31;28;A;12;Y;12;277.0;0
M;S;19;Y;31;16;P;108;N;0;350.0;1
F;S;22;Y;31;18;P;36;N;0;450.0;0
F;S;19;Y;31;12;P;240;N;0;200.0;1
M;C;37;Y;31;18;P;420;Y;12;802.0;0
F;V;44;Y;31;11;P;216;N;48;580.0;0
F;S;18;Y;31;28;P;228;Y;12;300.0;0
M;D;52;N;31;18;P;36;N;0;322.0;0
F;S;23;Y;31;23;O;12;N;12;525.0;0
F;S;18;Y;31;18;P;240;Y;12;350.0;0
F;S;24;Y;5;20;P;12;Y;12;220.0;0
F;C;27;Y;50;8;P;36;Y;72;487.0;1
F;D;65;N;31;1;P;84;N;0;180.0;0
F;O;27;Y;31;18;P;336;N;0;500.0;0
M;S;27;Y;31;8;A;60;Y;48;786.0;0
F;C;20;N;50;8;P;240;N;72;320.0;0
F;S;21;Y;31;8;P;240;Y;12;457.0;0
F;C;50;Y;5;20;P;216;Y;192;280.0;0
M;S;37;Y;31;23;P;336;N;0;800.0;1
F;C;34;Y;50;20;P;60;N;180;300.0;0
F;V;53;Y;31;12;P;132;N;324;180.0;0
F;C;44;Y;31;28;P;120;Y;60;204.0;0
F;S;19;Y;31;23;P;120;N;12;150.0;1
F;C;32;Y;31;12;A;24;N;0;1100.0;0
F;S;21;Y;31;8;P;240;N;12;300.0;0
F;C;38;N;50;12;P;24;Y;60;180.0;0
F;S;51;N;31;8;P;216;N;12;317.0;0
M;C;39;N;31;8;P;240;N;0;500.0;0
F;S;39;Y;31;12;P;360;N;120;800.0;0
F;S;21;Y;50;18;C;120;N;24;470.0;0
F;C;58;Y;31;12;P;240;N;300;180.0;0
F;O;48;Y;31;20;A;48;N;0;400.0;0
M;C;42;Y;50;3;P;84;Y;312;645.0;0
F;S;65;Y;31;8;P;540;Y;120;450.0;0
F;S;29;Y;31;18;P;12;N;0;800.0;0
M;S;19;Y;5;8;A;12;Y;36;277.0;0
F;V;50;Y;50;18;A;36;N;0;425.0;0
M;S;18;Y;23;20;C;204;Y;12;252.0;0
F;C;45;Y;31;18;P;12;N;0;180.0;0
F;S;47;Y;31;12;P;24;N;0;647.0;1
F;S;22;Y;31;20;P;12;N;0;1000.0;1
F;S;35;N;50;12;P;240;Y;12;232.0;1
F;O;28;Y;31;12;P;60;N;0;270.0;0
F;C;57;Y;31;20;P;420;N;12;700.0;0
F;C;53;Y;31;12;A;180;N;0;847.0;0
F;S;41;Y;31;8;P;84;Y;216;600.0;0
M;S;20;N;31;25;A;96;N;0;200.0;0
F;S;59;Y;31;8;P;132;N;360;720.0;0
F;C;48;Y;31;18;P;192;N;0;0.0;0
M;S;23;Y;31;8;O;60;N;72;1062.0;0
F;S;28;Y;31;8;A;12;N;0;150.0;1
F;C;31;Y;31;18;P;360;N;0;300.0;0
F;C;37;Y;31;28;P;240;N;120;600.0;0
F;C;48;Y;50;18;P;120;N;60;450.0;1
M;S;24;Y;5;12;P;12;Y;12;380.0;0
F;S;21;Y;31;1;P;96;Y;12;200.0;1
F;C;37;Y;50;8;P;240;N;120;500.0;0
M;C;38;Y;31;18;P;240;Y;36;916.0;0
F;S;23;Y;31;12;P;36;N;0;1200.0;0
F;S;30;Y;31;18;P;48;N;192;360.0;0
M;C;21;Y;50;23;C;36;Y;24;398.0;0
F;C;22;Y;31;25;A;12;Y;12;180.0;0
F;C;34;Y;31;12;P;12;N;0;600.0;0
M;S;23;N;50;8;A;60;N;12;266.0;1
M;C;27;Y;31;23;A;12;N;156;280.0;1
F;S;38;Y;31;28;P;96;Y;72;450.0;1
F;S;20;Y;31;25;P;48;N;0;225.0;0
M;S;18;Y;31;8;P;204;Y;36;907.0;0
F;S;26;Y;31;8;P;264;Y;96;628.0;1
F;V;64;Y;31;18;P;420;N;408;360.0;0
F;S;42;Y;31;12;A;24;N;132;1149.0;0
F;C;28;Y;31;12;P;48;N;0;823.0;0
F;D;47;Y;31;20;P;24;N;180;500.0;0
F;D;33;Y;23;12;P;72;Y;12;400.0;0
M;S;20;Y;50;8;C;240;N;12;1198.0;0
M;C;29;N;50;18;P;12;N;0;290.0;1
F;C;48;Y;31;8;P;252;Y;48;318.0;0
F;C;50;Y;31;18;P;360;N;12;930.0;0
M;S;32;Y;31;28;P;240;Y;0;0.0;0
M;S;30;Y;31;18;P;360;N;12;282.0;0
F;S;39;Y;31;25;P;120;N;0;600.0;0
F;C;44;Y;31;12;P;36;Y;192;914.0;0
F;C;45;Y;31;28;P;120;N;0;0.0;0
F;C;35;Y;31;28;P;120;N;24;350.0;0
F;C;47;Y;31;20;P;480;N;0;622.0;0
M;S;18;Y;5;12;O;24;N;12;700.0;0
F;D;57;Y;31;20;P;108;N;12;500.0;0
F;C;22;N;50;12;P;264;N;36;400.0;0
F;C;36;Y;31;8;P;120;N;0;600.0;1
F;S;51;Y;31;3;P;240;N;12;800.0;0
M;S;38;Y;31;18;A;72;N;12;1000.0;1
F;O;38;Y;31;20;P;96;N;36;500.0;0
F;S;39;Y;50;23;P;36;N;36;360.0;0
F;C;58;N;50;18;P;480;N;48;450.0;0
F;C;22;Y;31;18;A;12;Y;0;800.0;0
F;S;21;N;50;3;O;12;N;96;800.0;0
F;C;56;Y;31;18;P;480;Y;0;284.0;0
F;C;56;Y;50;25;P;528;N;408;500.0;0
F;O;25;Y;5;20;A;12;N;36;220.0;0
F;S;35;Y;31;18;C;216;Y;84;1058.0;0
M;D;30;Y;31;23;P;312;N;180;600.0;0
F;S;20;Y;31;16;P;240;N;12;400.0;0
F;S;19;Y;31;8;P;228;Y;12;712.0;1
F;S;30;Y;31;25;P;192;N;12;500.0;0
M;S;42;Y;31;12;P;180;Y;168;1433.0;0
F;S;21;Y;31;18;C;120;Y;12;350.0;0
F;S;20;Y;31;25;P;24;Y;12;180.0;0
F;D;37;N;50;18;P;48;N;192;240.0;0
M;C;40;Y;31;23;P;96;Y;0;1200.0;0
M;C;22;Y;31;1;P;24;Y;0;370.0;0
F;C;40;N;31;12;P;240;Y;24;220.0;0
F;C;23;N;50;25;P;120;N;0;500.0;1
F;C;44;Y;50;12;P;36;N;240;1200.0;0
F;C;39;N;50;1;P;120;Y;0;590.0;0
F;C;46;Y;50;28;P;168;N;0;700.0;0
F;S;23;Y;31;12;P;96;Y;36;450.0;0
F;S;27;Y;31;8;P;312;Y;36;499.0;0
F;D;48;Y;31;12;O;84;Y;156;1279.0;1
F;C;35;Y;31;28;C;180;Y;108;219.0;0
M;C;33;Y;31;20;P;24;N;60;600.0;0
M;S;23;Y;31;12;A;12;Y;24;220.0;0
M;C;37;Y;31;18;P;144;Y;48;417.0;0
F;C;37;Y;50;25;P;36;N;12;763.0;0
F;S;19;N;31;12;P;84;N;0;270.0;1
F;V;61;Y;31;3;P;480;N;192;230.0;0
M;C;27;Y;23;8;O;96;Y;96;350.0;0
F;O;24;Y;31;25;P;276;Y;0;211.0;0
F;C;31;Y;31;8;P;48;N;0;400.0;1
M;S;23;Y;31;12;C;240;Y;12;647.0;0
M;C;36;Y;50;12;P;36;Y;72;680.0;1
F;S;23;Y;31;18;P;276;Y;0;277.0;1
M;C;23;N;50;8;A;24;N;60;717.0;0
F;C;48;Y;31;20;P;12;N;0;180.0;0
F;S;28;N;50;18;P;48;N;60;917.0;0
F;S;23;Y;50;18;P;0;Y;0;430.0;0
F;O;39;Y;50;12;P;312;N;36;350.0;0
M;C;35;Y;31;25;P;420;Y;48;600.0;1
F;O;38;Y;31;28;O;192;N;0;450.0;1
F;C;38;Y;31;12;P;180;Y;180;1360.0;0
F;S;19;N;31;8;C;48;Y;12;204.0;1
F;C;43;Y;31;3;P;204;Y;240;900.0;0
F;V;61;Y;31;20;P;24;N;0;180.0;0
F;S;25;Y;31;8;P;12;Y;0;500.0;0
F;C;24;Y;31;12;A;24;Y;36;500.0;1
M;C;51;Y;27;18;P;72;Y;12;400.0;0
F;S;20;Y;12;12;P;288;N;0;220.0;1
M;S;20;Y;31;25;P;240;N;12;312.0;0
F;C;28;N;50;12;P;288;N;0;400.0;1
F;S;20;Y;31;12;P;240;Y;12;283.0;0
F;S;36;Y;31;20;P;12;N;12;280.0;0
F;C;31;Y;50;8;P;84;Y;0;320.0;0
F;S;18;Y;31;20;A;60;N;24;350.0;0
F;S;23;Y;31;18;P;12;Y;48;540.0;1
F;S;20;Y;31;12;P;216;N;12;416.0;0
M;C;22;N;50;3;A;12;Y;12;230.0;0
F;C;37;Y;31;18;P;48;N;204;870.0;0
F;V;64;Y;31;20;P;480;N;0;800.0;0
F;S;26;Y;31;18;P;48;N;84;600.0;0
F;S;26;Y;31;12;P;312;Y;72;470.0;0
M;O;23;N;50;1;P;12;Y;36;480.0;0
F;S;25;Y;5;12;A;300;Y;12;762.0;0
F;C;22;Y;31;18;A;0;Y;0;300.0;0
F;O;36;Y;31;8;P;96;N;36;450.0;0
F;S;48;Y;5;18;A;96;N;12;516.0;0
M;C;35;Y;31;18;P;96;N;0;277.0;0
F;S;30;N;31;28;P;240;N;0;300.0;0
M;S;20;N;50;12;P;180;Y;12;175.0;1
F;S;18;Y;5;23;O;12;Y;0;262.0;1
M;D;49;Y;31;12;A;36;Y;216;955.0;0
F;S;19;Y;31;8;P;132;Y;12;200.0;0
F;S;19;Y;31;12;P;216;Y;12;216.0;0
F;V;40;Y;31;8;P;84;N;0;180.0;0
M;S;33;Y;31;28;P;360;N;120;450.0;1
F;S;21;Y;31;18;P;12;Y;12;224.0;0
F;D;27;Y;31;12;A;24;Y;36;700.0;1
F;S;20;Y;31;8;O;120;N;0;227.0;0
F;C;67;Y;31;20;P;360;N;96;270.0;0
F;S;31;N;5;12;C;12;Y;72;350.0;0
F;O;52;Y;31;20;P;192;N;72;457.0;0
M;S;30;N;31;28;C;144;Y;72;254.0;0
F;C;42;Y;31;27;P;120;N;240;900.0;0
F;C;35;Y;31;12;P;120;N;12;643.0;0
F;S;20;Y;50;12;O;48;Y;12;450.0;0
F;C;49;Y;31;12;P;156;N;72;450.0;0
M;S;18;Y;31;12;A;0;N;24;220.0;0
M;S;35;Y;31;20;A;60;Y;60;0.0;0
F;S;28;Y;31;18;P;96;Y;12;190.0;0
F;S;25;Y;31;8;P;96;Y;0;181.0;0
F;S;22;Y;5;8;C;12;Y;12;220.0;0
M;C;22;Y;5;12;P;12;N;24;315.0;0
F;D;57;Y;50;25;P;72;Y;24;252.0;0
F;S;19;Y;31;12;P;204;Y;12;400.0;1
F;O;22;N;31;20;P;24;N;36;300.0;1
F;S;31;N;50;28;P;324;N;36;300.0;0
F;S;21;Y;31;20;C;252;Y;24;450.0;0
F;S;36;Y;31;28;A;0;Y;24;500.0;0
M;S;38;N;50;12;P;72;Y;12;330.0;0
F;S;20;Y;50;20;C;240;N;12;221.0;0
M;S;21;Y;5;25;C;252;N;72;600.0;0
F;S;34;Y;31;28;P;72;Y;72;400.0;0
F;S;23;Y;50;12;P;48;N;12;265.0;0
F;S;27;Y;23;23;A;24;N;12;185.0;0
F;S;39;Y;31;12;P;60;N;48;500.0;0
F;O;28;Y;31;25;P;12;Y;12;460.0;0
F;S;21;Y;31;12;C;12;N;72;550.0;0
F;C;41;Y;31;20;P;420;N;60;600.0;0
M;S;29;Y;50;1;P;288;N;12;800.0;1
F;S;21;Y;31;25;A;96;N;0;700.0;0
F;S;40;Y;31;8;P;36;N;12;650.0;1
F;C;28;Y;31;8;A;24;N;0;500.0;0
M;C;31;Y;31;3;P;372;Y;72;540.0;0
F;C;42;Y;31;12;P;384;Y;0;226.0;0
M;S;39;Y;31;18;P;492;Y;0;234.0;1
F;C;33;Y;31;12;P;120;N;96;200.0;0
F;S;57;Y;31;28;A;24;N;24;500.0;0
F;C;24;Y;31;16;P;216;N;120;400.0;0
F;S;36;Y;31;25;P;216;Y;36;220.0;0
M;S;21;Y;31;12;C;252;N;12;320.0;0
F;S;47;Y;31;12;P;192;N;0;1007.0;0
F;C;35;Y;50;18;P;168;Y;120;273.0;0
F;S;18;Y;50;18;C;96;Y;12;192.0;0
F;S;19;Y;31;20;P;228;N;0;200.0;0
F;S;21;Y;31;20;P;252;Y;12;380.0;0
F;S;23;Y;31;12;C;264;Y;12;210.0;0
F;S;34;N;50;28;A;0;N;0;1000.0;1
F;S;31;Y;23;12;A;12;Y;12;240.0;0
F;C;22;Y;31;8;P;36;Y;0;220.0;1
F;S;43;Y;31;20;P;24;N;72;800.0;0
F;C;34;Y;50;20;P;120;N;0;0.0;0
F;S;46;Y;50;12;A;228;Y;0;390.0;0
M;S;20;Y;31;20;P;12;Y;24;300.0;0
M;S;29;N;50;25;P;120;Y;0;360.0;0
F;S;21;Y;31;20;P;240;Y;12;220.0;1
F;C;34;N;50;20;P;336;N;24;400.0;0
F;C;50;Y;31;8;P;216;N;0;270.0;0
F;S;24;Y;31;8;A;12;Y;12;570.0;1
F;C;68;Y;31;12;P;120;N;0;575.0;0
F;C;50;Y;31;18;P;192;N;96;900.0;0
F;S;29;Y;31;8;O;360;N;12;200.0;0
F;C;28;Y;31;8;P;36;N;96;634.0;0
M;S;26;Y;50;8;P;24;Y;12;463.0;0
M;C;37;Y;23;20;A;12;N;12;980.0;1
M;S;22;N;50;12;C;72;N;12;212.0;1
F;C;42;Y;31;28;P;120;N;0;500.0;0
F;C;33;Y;31;12;A;108;Y;12;700.0;0
F;S;19;Y;31;8;P;24;Y;12;277.0;0
F;C;42;Y;31;28;P;96;N;0;200.0;0
F;S;21;Y;5;18;P;240;N;24;350.0;0
F;S;18;Y;31;12;C;36;N;12;241.0;0
F;S;22;N;50;25;A;12;Y;12;300.0;0
M;V;48;N;50;25;P;120;N;72;600.0;1
M;S;39;Y;31;12;P;240;Y;72;452.0;0
F;D;24;Y;31;8;P;12;Y;0;800.0;0
F;S;30;N;50;28;P;72;Y;12;220.0;0
F;S;19;Y;31;25;C;24;Y;24;230.0;1
M;S;20;Y;31;18;P;120;Y;60;298.0;0
F;C;36;Y;31;9;P;48;N;12;550.0;0
F;C;38;Y;31;8;P;240;Y;36;400.0;0
M;S;26;Y;31;18;P;324;Y;36;570.0;0
F;O;23;Y;31;8;P;48;N;48;636.0;0
F;C;44;N;50;25;P;180;Y;24;270.0;1
F;C;29;Y;31;23;P;12;N;60;510.0;0
M;S;26;N;31;20;P;300;Y;72;460.0;0
F;S;22;N;50;18;A;24;N;24;180.0;1
F;S;19;Y;31;25;C;228;N;12;432.0;0
M;O;69;Y;31;12;O;144;N;0;925.0;0
M;C;45;N;50;8;P;96;Y;192;950.0;0
F;C;35;Y;31;3;P;96;N;0;1353.0;0
F;C;28;Y;31;12;P;180;N;12;200.0;0
F;S;19;Y;31;8;C;228;Y;12;217.0;0
F;S;34;Y;31;28;P;192;N;72;491.0;1
F;S;30;N;31;20;P;12;Y;12;260.0;0
F;S;24;Y;31;25;P;36;N;0;250.0;0
M;S;20;Y;50;8;P;72;Y;12;600.0;0
F;S;21;Y;31;20;C;12;Y;12;287.0;0
F;S;38;Y;31;28;P;156;Y;0;220.0;0
M;S;49;Y;50;12;P;120;Y;0;220.0;1
M;S;18;Y;31;18;C;216;Y;0;416.0;0
F;D;46;Y;31;25;P;360;N;240;400.0;0
M;S;47;Y;5;12;P;72;N;60;280.0;0
F;D;38;Y;5;12;P;120;Y;0;288.0;0
F;C;45;Y;50;20;P;156;N;12;200.0;0
M;S;18;Y;31;20;P;24;Y;12;290.0;1
F;C;37;Y;31;20;P;204;N;0;600.0;0
M;C;27;Y;31;20;P;324;N;60;840.0;0
F;V;44;Y;50;12;P;12;N;0;1136.0;0
F;S;25;Y;31;25;P;300;N;24;550.0;0
F;V;34;N;50;1;P;120;N;24;180.0;0
F;C;46;Y;31;18;P;240;Y;24;280.0;0
M;S;19;Y;31;16;P;228;N;36;350.0;0
F;S;35;Y;31;8;P;72;N;120;621.0;0
F;C;46;N;50;1;P;72;N;120;198.0;0
F;S;47;Y;31;18;A;120;N;0;500.0;0
M;C;35;Y;31;12;P;84;Y;192;1400.0;0
M;S;20;N;50;18;A;36;Y;12;400.0;0
F;S;28;Y;31;18;P;120;Y;36;290.0;1
F;S;23;Y;31;8;P;120;Y;48;220.0;0
M;S;19;Y;31;12;A;0;N;48;750.0;0
M;S;19;Y;31;12;A;84;Y;12;750.0;0
F;S;22;Y;31;18;P;264;N;12;305.0;0
M;S;46;Y;31;12;P;528;Y;60;488.0;0
M;S;19;Y;31;20;C;228;Y;36;400.0;0
F;S;24;Y;31;12;P;132;N;12;300.0;0
F;S;46;Y;31;12;C;72;Y;312;1194.0;0
F;C;47;Y;5;20;P;120;Y;48;800.0;0
F;S;19;Y;23;28;P;240;Y;12;180.0;1
M;C;31;Y;50;8;P;24;N;12;604.0;0
M;S;29;N;50;22;P;180;Y;120;380.0;1
F;C;34;Y;31;18;A;36;Y;0;850.0;0
F;C;28;Y;31;23;P;12;Y;12;620.0;0
F;O;35;N;31;20;P;216;Y;12;300.0;0
M;C;41;Y;31;28;P;48;Y;144;693.0;0
M;C;49;Y;5;18;P;300;Y;96;654.0;0
F;S;28;Y;31;8;P;72;Y;24;420.0;0
F;C;34;Y;31;28;P;24;N;180;800.0;0
M;C;24;N;31;20;P;72;N;12;712.0;0
M;C;37;Y;31;12;P;12;N;12;1300.0;0
F;C;37;N;31;1;P;120;Y;168;405.0;0
F;S;42;N;50;12;P;516;Y;12;300.0;0
F;C;36;Y;31;23;A;240;Y;12;376.0;0
M;S;24;Y;50;20;P;48;N;72;300.0;0
F;V;41;Y;50;12;A;0;Y;72;300.0;0
F;C;49;Y;31;8;O;60;N;0;220.0;0
M;S;20;N;50;11;P;60;N;60;300.0;0
M;S;23;Y;31;8;A;12;Y;12;350.0;0
F;C;36;Y;31;18;P;144;Y;192;500.0;0
F;C;26;Y;31;8;P;0;Y;36;300.0;0
F;S;26;Y;31;18;O;0;Y;0;500.0;0
M;C;37;N;50;12;P;180;Y;84;600.0;0
F;S;19;Y;31;18;P;24;Y;12;284.0;1
M;C;40;Y;31;8;P;228;Y;24;700.0;0
F;C;49;Y;31;25;P;120;N;120;360.0;0
F;C;54;Y;31;25;P;372;N;120;500.0;0
F;V;45;Y;31;8;P;480;Y;180;202.0;0
F;S;43;Y;31;18;P;432;N;24;500.0;0
M;S;51;Y;31;8;P;360;Y;216;900.0;0
F;C;39;Y;31;1;P;192;N;60;750.0;0
F;S;51;Y;31;12;P;36;N;312;260.0;0
F;C;37;Y;31;18;P;360;N;0;0.0;0
F;D;46;Y;31;28;A;72;Y;12;1100.0;0
F;S;27;Y;31;12;P;156;N;60;300.0;0
M;S;20;Y;31;12;P;12;N;12;300.0;0
F;S;21;N;5;8;C;252;Y;12;180.0;0
F;S;26;Y;31;8;P;276;N;12;217.0;1
F;C;34;Y;31;20;P;216;N;0;0.0;0
F;S;54;N;5;8;P;336;N;0;844.0;0
M;S;22;Y;31;12;P;12;Y;12;565.0;0
F;S;29;Y;31;12;P;348;Y;36;487.0;0
F;S;35;Y;31;25;P;12;N;240;500.0;0
F;C;29;Y;31;20;P;348;N;0;500.0;0
F;C;46;N;50;20;P;60;N;36;850.0;0
M;C;42;Y;31;8;P;84;Y;72;467.0;0
F;S;21;Y;50;25;P;252;Y;12;220.0;1
F;S;34;Y;31;23;P;132;Y;12;278.0;0
M;S;19;Y;5;12;C;168;Y;0;200.0;0
F;C;31;Y;31;8;P;12;N;12;500.0;1
F;S;21;Y;31;1;P;12;Y;12;280.0;1
F;S;19;N;50;12;P;216;N;0;450.0;1
F;S;18;Y;31;28;P;0;Y;12;300.0;0
F;S;19;N;50;12;P;228;N;12;250.0;0
M;C;35;Y;31;8;P;96;Y;156;862.0;0
M;S;28;Y;31;20;P;120;N;12;341.0;1
M;S;21;N;50;8;A;60;N;0;180.0;1
M;S;22;Y;31;18;P;204;Y;72;253.0;0
F;S;26;Y;50;12;P;120;Y;12;270.0;0
F;C;36;Y;31;8;O;24;Y;24;300.0;0
M;C;43;Y;31;8;P;84;Y;72;1250.0;0
M;D;44;Y;50;18;A;12;Y;48;1350.0;0
F;C;24;Y;31;12;P;84;N;0;170.0;0
F;C;53;Y;31;18;P;360;Y;360;304.0;0
F;S;20;Y;31;12;C;12;Y;12;260.0;0
M;C;32;Y;31;1;P;24;N;12;450.0;1
F;C;28;Y;31;18;P;96;Y;12;295.0;0
F;S;25;Y;31;28;P;240;Y;12;700.0;1
F;S;19;Y;31;9;A;12;Y;12;290.0;0
F;S;21;Y;31;18;C;24;Y;0;293.0;0
M;S;23;N;31;18;O;36;Y;36;370.0;0
F;S;30;Y;31;18;A;12;N;12;196.0;1
F;C;44;Y;5;12;P;84;N;216;648.0;0
F;S;23;Y;50;12;A;144;Y;72;181.0;0
F;C;48;N;50;3;P;12;N;12;0.0;1
F;O;42;N;31;20;P;360;Y;12;306.0;0
M;S;19;N;50;8;O;216;N;0;260.0;1
F;C;43;N;50;8;P;84;Y;0;350.0;0
M;S;40;Y;50;12;P;60;N;120;1200.0;0
M;S;23;Y;5;20;P;300;Y;12;199.0;0
F;C;26;N;50;25;P;24;Y;12;290.0;0
F;S;35;Y;31;18;P;12;Y;12;600.0;0
F;C;45;Y;31;28;P;96;Y;72;500.0;0
F;S;34;Y;31;3;P;144;N;12;500.0;0
F;S;51;Y;31;20;P;156;N;60;400.0;0
F;O;34;Y;31;1;P;12;Y;48;310.0;0
M;S;24;Y;31;12;P;240;N;24;980.0;0
F;S;20;Y;31;18;P;48;N;72;680.0;1
F;S;38;Y;31;8;P;36;N;0;500.0;1
F;S;32;Y;31;8;P;96;Y;12;1160.0;0
F;S;31;Y;31;28;P;120;N;96;450.0;0
F;O;25;Y;31;25;P;60;N;0;800.0;0
M;C;26;Y;31;12;P;312;Y;0;509.0;1
F;S;35;N;50;28;P;168;N;84;450.0;0
F;S;20;Y;31;12;P;60;Y;0;230.0;0
M;S;23;Y;31;20;P;48;Y;12;277.0;0
F;S;26;Y;31;28;P;312;N;12;850.0;0
F;S;29;Y;31;12;P;168;Y;12;190.0;0
F;S;21;Y;5;20;P;0;N;24;288.0;0
F;S;18;Y;31;12;O;12;Y;12;360.0;0
F;S;26;Y;50;18;A;0;Y;24;400.0;0
M;C;25;N;31;20;P;60;N;12;335.0;1
F;C;61;Y;31;25;P;240;N;420;420.0;1
M;S;20;Y;31;3;P;72;Y;24;800.0;0
F;S;39;Y;31;1;P;120;Y;180;1122.0;0
F;S;22;N;50;28;P;12;Y;0;200.0;1
M;S;25;Y;31;28;P;36;N;0;250.0;1
F;C;47;Y;31;20;P;192;N;0;600.0;0
F;V;66;Y;31;18;P;480;N;360;434.0;0
F;C;26;Y;31;8;P;312;Y;48;380.0;0
M;S;18;Y;31;8;C;216;Y;12;180.0;1
F;S;18;Y;50;8;P;216;N;0;250.0;1
F;O;26;Y;31;28;O;120;N;36;1200.0;0
F;S;31;Y;31;12;C;324;Y;36;541.0;0
F;S;35;Y;31;28;P;348;Y;60;1190.0;0
F;S;20;Y;50;12;C;240;N;12;500.0;0
F;O;21;Y;50;18;P;12;N;12;300.0;0
M;S;20;Y;31;8;P;240;N;12;544.0;0
F;V;50;N;50;8;P;12;N;24;338.0;1
M;S;19;Y;31;28;P;228;Y;12;280.0;0
F;S;31;Y;50;8;P;348;N;60;750.0;1
F;S;38;Y;31;12;C;144;Y;24;360.0;0
F;S;23;Y;31;12;P;0;Y;12;198.0;1
F;C;47;Y;31;8;P;12;N;24;1000.0;0
F;S;19;Y;31;12;C;228;Y;12;380.0;0
F;S;37;Y;5;20;P;240;N;12;310.0;1
F;V;46;N;50;12;P;264;N;12;180.0;1
M;C;46;Y;31;25;P;480;Y;0;1200.0;0
M;C;37;Y;31;8;P;144;N;12;283.0;0
M;C;42;Y;31;20;P;240;N;240;1200.0;0
F;C;41;Y;31;20;A;0;N;0;0.0;0
F;V;65;N;31;18;P;12;N;0;360.0;0
F;S;23;N;31;12;P;24;Y;48;220.0;0
M;C;23;N;50;12;C;48;N;12;210.0;0
M;C;39;Y;31;20;A;12;Y;12;365.0;0
F;C;24;Y;31;18;P;12;Y;36;420.0;0
F;C;37;Y;31;12;P;216;Y;12;309.0;0
F;S;21;Y;31;18;P;12;N;12;457.0;0
M;O;43;Y;31;20;P;240;N;312;850.0;0
M;S;24;N;50;8;P;288;Y;24;290.0;0
M;S;45;Y;31;23;P;300;Y;0;300.0;0
F;S;39;Y;31;25;P;240;Y;120;300.0;0
F;C;32;Y;31;12;P;384;N;60;300.0;0
F;C;28;Y;31;18;P;24;Y;0;1250.0;0
F;S;18;Y;31;25;P;120;N;48;300.0;1
F;S;39;Y;50;8;P;108;N;0;1200.0;0
F;C;25;Y;31;23;A;12;Y;24;400.0;0
F;C;36;Y;31;12;P;12;Y;12;500.0;0
M;C;30;Y;31;8;A;12;N;144;1200.0;0
M;S;18;Y;31;8;P;72;N;0;340.0;0
F;C;26;Y;31;8;A;48;Y;36;900.0;0
M;C;37;Y;31;18;P;108;N;36;534.0;0
F;S;26;Y;31;8;C;120;Y;72;350.0;0
F;S;33;Y;5;12;P;264;Y;12;800.0;1
F;C;51;Y;31;20;P;48;N;360;1066.0;0
F;S;34;Y;31;28;A;60;Y;120;1200.0;0
F;S;29;Y;31;8;P;348;Y;96;1200.0;0
F;O;53;Y;23;6;P;120;N;0;180.0;0
M;S;34;Y;31;8;P;120;N;0;500.0;0
M;C;44;Y;31;12;P;240;N;120;735.0;1
F;D;33;Y;31;12;O;120;Y;120;570.0;0
F;C;22;Y;31;12;P;336;N;24;250.0;0
M;S;20;Y;31;28;A;48;Y;48;300.0;0
M;O;39;Y;31;1;P;60;N;12;680.0;0
F;C;49;Y;31;18;P;480;N;84;333.0;0
F;S;18;Y;31;8;C;132;Y;12;175.0;0
F;O;20;Y;31;1;P;24;N;24;600.0;1
M;O;33;Y;31;16;P;396;N;0;474.0;0
M;C;51;Y;31;23;A;48;Y;24;746.0;0
F;S;19;Y;31;8;A;84;N;0;280.0;0
M;S;19;Y;31;12;C;120;Y;12;200.0;1
F;S;33;Y;31;8;P;96;Y;12;297.0;0
F;O;42;Y;31;20;P;180;Y;12;850.0;0
F;S;36;Y;31;18;P;360;Y;36;548.0;1
F;C;20;Y;50;12;P;48;Y;12;240.0;1
F;C;41;Y;31;18;P;204;N;60;500.0;0
F;C;30;Y;31;25;A;12;Y;12;475.0;1
F;S;29;Y;31;27;P;300;N;24;180.0;0
F;C;35;Y;31;12;P;420;N;12;369.0;0
F;C;43;Y;31;18;P;480;N;0;805.0;0
M;S;25;Y;31;12;A;24;N;12;498.0;0
M;S;20;Y;31;3;P;240;Y;12;435.0;0
F;V;49;Y;31;23;P;480;N;264;237.0;0
F;S;23;Y;31;8;P;276;Y;0;312.0;1
M;S;45;Y;31;25;A;24;Y;72;300.0;0
F;S;30;N;50;18;A;48;N;36;450.0;0
F;C;23;N;50;12;P;96;N;24;595.0;1
F;C;39;Y;23;1;A;36;Y;60;250.0;0
M;O;34;N;50;25;P;384;N;24;797.0;1
F;S;30;Y;50;20;P;72;N;0;200.0;1
F;S;22;N;50;12;P;264;N;0;262.0;0
F;S;40;Y;31;28;P;96;N;12;400.0;0
M;O;29;Y;31;25;P;72;Y;156;700.0;0
F;C;63;Y;31;20;P;360;N;120;200.0;0
F;C;66;Y;31;28;P;48;N;0;400.0;0
F;C;23;Y;50;18;P;60;N;0;0.0;0
F;S;48;Y;31;25;P;60;N;36;900.0;0
F;C;30;Y;31;20;P;12;Y;24;350.0;0
F;C;42;Y;31;28;P;108;N;60;340.0;0
F;C;38;N;31;12;A;24;N;60;300.0;0
